Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
181209_P01		9/12/2018		25	3E	181220	181209_P01	181220	181209_P01
181209_P03		9/12/2018		27	3E	181220	181209_P03	181220	181209_P03
181209_P04		9/12/2018		28	3E	181220	181209_P04	181220	181209_P04
190214_P01	2/7/2019	14/02/2019	3/17/2019	10	1G	190324	190214_P01	190324	190214_P01
190214_P02	2/7/2019	14/02/2019	5/15/2019	12	1E	190619|190728|190801	190214_P02	190619|190728|190801	190214_P02
190214_P03	2/7/2019	14/02/2019	5/15/2019	13	1F	190619|190728|190801	190214_P03	190619|190728|190801	190214_P03
190214_P04	2/7/2019	14/02/2019	3/17/2019	15	1H	190324	190214_P04	190324	190214_P04
190214_P05	6/12/2019	14/02/2019	5/15/2019	14	1F	190619|190728|190801	190214_P05	190619|190728|190801	190214_P05
190223_P01	2/18/2019	23/02/2019	3/3/2019	25	3H	190307	190223_P01	190307	190223_P01
190223_P02	2/18/2019	23/02/2019	3/3/2019	26	3H	190307	190223_P02	190307	190223_P02
190223_P03	2/7/2019	23/02/2019	3/3/2019	27	3H	190307	190223_P03	190307	190223_P03
190223_P04	2/7/2019	23/02/2019	3/3/2019	28	3H	190307	190223_P04	190307	190223_P04
190223_P05	2/7/2019	23/02/2019	3/3/2019	29	1G	190307	190223_P05	190307	190223_P05
190223_P06	2/7/2019	23/02/2019	3/3/2019	30	1G	190307	190223_P06	190307	190223_P06
190223_P07	2/7/2019	23/02/2019	3/3/2019	31	1G	190307	190223_P07	190307	190223_P07
190223_P08	9/26/2017	23/02/2019	3/3/2019	32	1G	190307	190223_P08	190307	190223_P08
190223_P09	9/26/2017	23/02/2019	4/11/2019	2	1G	190418|190429	190223_P09	190418|190429	190223_P09
190223_P10	9/26/2017	23/02/2019	5/15/2019	10	1E	190619|190728|190801	190223_P10	190619|190728|190801	190223_P10
190304_P01	2/26/2019	4/3/2019	4/4/2019	9	1G	190418|190429	190304_P01	190418|190429	190304_P01
190304_P02	2/26/2019	4/3/2019	4/4/2019	11	1G	190418|190429	190304_P02	190418|190429	190304_P02
190304_P03	2/26/2019	4/3/2019	4/11/2019	6	1H	190418|190429	190304_P03	190418|190429	190304_P03
190307_P09	3/4/2019	7/3/2019	3/12/2019	1	3G	190324	190307_P09	190324	190307_P09
190307_P10	3/4/2019	7/3/2019	3/12/2019	2	3G	190324	190307_P10	190324	190307_P10
190307_P11	3/4/2019	7/3/2019	3/12/2019	3	3G	190324	190307_P11	190324	190307_P11
190307_P12	3/4/2019	7/3/2019	3/12/2019	4	3G	190324	190307_P12	190324	190307_P12
190307_P13	3/4/2019	7/3/2019	3/12/2019	5	3H	190324	190307_P13	190324	190307_P13
190307_P14	3/4/2019	7/3/2019	3/12/2019	6	3H	190324	190307_P14	190324	190307_P14
190307_P15	3/4/2019	7/3/2019	3/12/2019	7	3H	190324	190307_P15	190324	190307_P15
190307_P16	3/4/2019	7/3/2019	3/12/2019	8	3H	190324	190307_P16	190324	190307_P16
190311_P01	3/10/2019	11/3/2019	4/11/2019	9	3G	190429	190311_P01	190429	190311_P01
190311_P02	3/10/2019	11/3/2019	4/11/2019	5	1H	190418|190429	190311_P02	190418|190429	190311_P02
190311_P03	3/10/2019	11/3/2019	4/11/2019	8	1H	190418|190429	190311_P03	190418|190429	190311_P03
190313_P01	2/26/2019	13/03/2019	4/3/2019	3	1E	190418	190313_P01	190418	190313_P01
190313_P02	2/26/2019	13/03/2019	4/3/2019	4	1E	190418	190313_P02	190418	190313_P02
190313_P03	2/26/2019	13/03/2019	4/4/2019	15	1H	190418|190429	190313_P03	190418|190429	190313_P03
190313_P04	3/10/2019	13/03/2019	4/4/2019	14	1H	190418|190429	190313_P04	190418|190429	190313_P04
190313_P05	3/10/2019	13/03/2019	4/4/2019	10	1G	190418|190429	190313_P05	190418|190429	190313_P05
190313_P06	3/10/2019	13/03/2019	4/11/2019	4	1G	190418|190429	190313_P06	190418|190429	190313_P06
190313_P07	3/10/2019	13/03/2019	4/30/2019	10	1G	190506	190313_P07	190506	190313_P07
190313_P08	3/10/2019	13/03/2019	4/11/2019	1	1G	190418|190429	190313_P08	190418|190429	190313_P08
190313_P09	3/10/2019	13/03/2019	4/30/2019	11	1G	190506	190313_P09	190506	190313_P09
190313_P10	3/10/2019	13/03/2019	4/30/2019	12	1G	190506	190313_P10	190506	190313_P10
190313_P11	3/10/2019	13/03/2019	4/15/2019	13	3H	190429	190313_P11	190429	190313_P11
190313_P12	3/10/2019	13/03/2019	4/30/2019	13	1H	190506	190313_P12	190506	190313_P12
190313_P13	3/10/2019	13/03/2019	4/15/2019	15	3H	190429	190313_P13	190429	190313_P13
190313_P14	3/10/2019	13/03/2019	4/30/2019	14	1H	190506	190313_P14	190506	190313_P14
190313_P15	3/10/2019	13/03/2019	4/30/2019	15	1H	190506	190313_P15	190506	190313_P15
190313_P16	3/10/2019	13/03/2019	4/30/2019	16	1H	190506	190313_P16	190506	190313_P16
190506_P118	4/14/2019	5/6/2019	5/14/2019	3	1G	190619|190728	190506_P118	190619|190728	190506_P118
190506_P119	4/14/2019	5/6/2019	5/14/2019	1	1G	190619|190728	190506_P119	190619|190728	190506_P119
